Index,Nameplate kg/d,Technology,Year,Nameplate Capacity [kg/yr],Maximum Utilization [kg/kg],Production?,Lifetime [yr],Scaling Exponent,Capital Cost [$],Capital Cost [$/km],Capital Cost [$/km2],Capital recovery factor,Fixed Operating Cost [fraction of OvernightCapCost/y],Fixed Operating Cost [fraction of OvernightCapCost/km-y],Variable Operating Cost [$/kg],Variable Operating Cost [$/km/kg],Storage [kg],Storage [kg/km],Storage [kg/km2],Storage [kg/km3],Final year of technology availability,Reference,Storage Technology,,%CO2 Sequestration,Aannualized replacement costs % of CapEx,Technology description,Default Size (kg/d)
78,182000,Central Biomass Gasification,2040,66430000,0.9,Central,40,0.78,296646606.3,0,,0.063712463,0.05839992,0,0.246163385,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.007600268,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",154758.06
79,186500,Central Biomass Gasification,2040,68072500,0.9,Central,40,0.78,302352242.3,0,,0.063712463,0.058065598,0,0.246163385,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.007600268,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",154758.06
80,191000,Central Biomass Gasification,2040,69715000,0.9,Central,40,0.78,308027668.1,0,,0.063712463,0.057745582,0,0.246163385,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.007600268,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",154758.06
81,195500,Central Biomass Gasification,2040,71357500,0.9,Central,40,0.78,313673749.8,0,,0.063712463,0.057439022,0,0.246163385,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.007600268,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",154758.06
82,200000,Central Biomass Gasification,2040,73000000,0.9,Central,40,1,319291309.6,0,,0.063712463,0.057145139,0,0.246163385,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html,,,0,0.007600268,"The systems examined are based on the Battelle/FERCO indirectly-heated biomass gasifier, conventional catalytic steam reforming, water gas shift, and pressure swing adsorption purification.  The indirectly-heated biomass gasifier uses hot sand, circulating between the char combustor and the gasifier, to provide the heat necessary for gasification.  Steam is used as the fluidizing gas; no oxygen (as pure oxygen or air) is fed to the gasifier.  The biomass feedstock is assumed to be a woody biomass, represented as hybrid poplar.",154758.06
83,6000,Central Coal Gasification w/CCS,2015,2190000,0.9,Central,40,0.219285103,818574351.2,0,,0.063712463,0.031842011,0,8.638601045,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
84,30850,Central Coal Gasification w/CCS,2015,11260250,0.9,Central,40,0.333960408,1172175470,0,,0.063712463,0.038469925,0,1.806734335,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
85,55700,Central Coal Gasification w/CCS,2015,20330500,0.9,Central,40,0.386619788,1427864113,0,,0.063712463,0.041087202,0,1.122784784,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
86,80550,Central Coal Gasification w/CCS,2015,29400750,0.9,Central,40,0.420586504,1646748854,0,,0.063712463,0.042666456,0,0.860532323,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
87,105400,Central Coal Gasification w/CCS,2015,38471000,0.9,Central,40,0.445135767,1843917078,0,,0.063712463,0.043766934,0,0.720700961,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
88,130250,Central Coal Gasification w/CCS,2015,47541250,0.9,Central,40,0.464035579,2026123378,0,,0.063712463,0.044595925,0,0.633271574,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
89,155100,Central Coal Gasification w/CCS,2015,56611500,0.9,Central,40,0.479199346,2197129181,0,,0.063712463,0.045252254,0,0.573221903,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
90,179950,Central Coal Gasification w/CCS,2015,65681750,0.9,Central,40,0.491729076,2359299868,0,,0.063712463,0.045790278,0,0.529321939,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
91,204800,Central Coal Gasification w/CCS,2015,74752000,0.9,Central,40,0.502314598,2514244734,0,,0.063712463,0.046242848,0,0.495773233,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
92,229650,Central Coal Gasification w/CCS,2015,83822250,0.9,Central,40,0.511414438,2663121115,0,,0.063712463,0.04663121,0,0.469283474,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
93,254500,Central Coal Gasification w/CCS,2015,92892500,0.9,Central,40,0.519347604,2806796420,0,,0.063712463,0.046969816,0,0.447806378,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
94,279350,Central Coal Gasification w/CCS,2015,101962750,0.9,Central,40,0.526344174,2945941915,0,,0.063712463,0.047268904,0,0.430043652,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
95,304200,Central Coal Gasification w/CCS,2015,111033000,0.9,Central,40,0.532575015,3081090527,0,,0.063712463,0.04753596,0,0.415107848,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
96,329050,Central Coal Gasification w/CCS,2015,120103250,0.9,Central,40,0.538170132,3212674283,0,,0.063712463,0.047776608,0,0.402375956,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
97,353900,Central Coal Gasification w/CCS,2015,129173500,0.9,Central,40,0.543230489,3341049571,0,,0.063712463,0.047995167,0,0.391397282,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
98,378750,Central Coal Gasification w/CCS,2015,138243750,0.9,Central,40,0.54783588,3466514740,0,,0.063712463,0.04819502,0,0.381843893,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
99,403600,Central Coal Gasification w/CCS,2015,147314000,0.9,Central,40,0.552050337,3589322724,0,,0.063712463,0.048378859,0,0.373448921,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
100,428450,Central Coal Gasification w/CCS,2015,156384250,0.9,Central,40,0.555925931,3709690321,0,,0.063712463,0.048548857,0,0.366023409,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
101,453300,Central Coal Gasification w/CCS,2015,165454500,0.9,Central,40,0.559505503,3827805140,0,,0.063712463,0.048706792,0,0.359413532,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
102,478150,Central Coal Gasification w/CCS,2015,174524750,0.9,Central,40,0.562824677,3943830911,0,,0.063712463,0.048854135,0,0.353496741,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
103,503000,Central Coal Gasification w/CCS,2015,183595000,0.9,Central,40,0.565913348,4057911604,0,,0.063712463,0.048992112,0,0.348179028,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
104,527850,Central Coal Gasification w/CCS,2015,192665250,0.9,Central,40,0.568796821,4170174667,0,,0.063712463,0.049121761,0,0.343369679,0,0,,,,,Source: H2A version 3.2018 https://www.nrel.gov/hydrogen/h2a-production-models.html + NETL model cost of CCS variable expense,,,0.911233656,0.004979755,"There are two Shell dry feed, pressurized, up-flow, entrained, slagging gasifiers, operating at 4.2 MPa (615 psia).  The air separation plant supplies 95 percent O₂ to the gasifiers. Coal reacts with O₂ and steam at a temperature of 1,427°C (2,600°F) in the gasifier to produce principally H₂ and CO with little CO₂ formed.  The gasifier’s refractory-lined water wall is protected by molten slag that solidifies on the cooled walls. Syngas exiting the gasifier is converted to a CO₂ and H₂-rich syngas to maximize H₂ product yield and maximize the extent of CO₂ separation that can be performed on the high-pressure syngas stream.  CO is converted to CO₂ by reacting with steam over a bed of water gas shift catalyst. CO₂ and H₂S are removed via acid gas removal (AGR), which is a two-stage Selexol process. Hydrogen is further purified using a PSA system. CO₂ is transported via 100 mile pipeline and injected into a geologic saline storage site.",660000
